s,r,g,m,p,d,n,Other,Melakarta,Janya,Key,TS,Song,Album
s,r1,g1,m1,p,d1,n1,,Kanakangi ,,C#sus,,Sri gana natham bhajamyaham,Sruthilayalu 
s,r1,g1,m1,p,d1,n2,,Ratnangi ,,Fsus,,Gandhamu puyyaruga,Subhodayam 
s,r1,,m1,p,,n2,,Ratnangi ,Revathi ,C#sus,,Jhummandhi naadham,Siri siri muvva 
s,r1,,m1,p,,n2,,Ratnangi ,Revathi ,Csus,,Naa gonthu sruthiloonaa,Jaanaki raamudu 
s,r1,,m1,p,,n2,,Ratnangi ,Revathi ,Dsus,,Ye theega poovuno ye komma,Maro charithra 
s,r1,g2,m1,p,d1,n2,r2,Hanumatodi ,,C#m,,Bhale bhale andhaalu srustinchavu,Bhaktha thukaram 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Cheppavey prema,Manasantha nuvve
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Cm,,Eymito ee maya challani raja,Missamma 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Ennenno Janmala Bandham,Pooja 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Gurthukosthunnayi,Na Autograph 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Bm,,Jagada jagada jagadam,Geethanjali 
s,r1,g2,m1,p,d1,n2,r2,Hanumatodi ,,Cm,,Jagamey maaya brathukey maaya,Devadasu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Jayammu nischayammura,Sabash ramudu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Kanulu therichina neevaye,Gundamma katha 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Fm,,Karigi poyanu karpura veenala,Marana mrudhangam 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Mounamgane edhagamani,Na Autograph 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Muddha banthi poovulo mooga kalla oosulo,Mooga manasulu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,4,Naa manasuney meetakey neysthamaa,Manmadhudu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,C#m,,Nadireyi ye jaamulo,Rangula raatnam
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Naruda oh naruda emi korika,Bhairava Dweepam
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,4,Nela raaja itu chuudaraa,Surya IPS 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,C#m,,Ninnatidaka silanaina nee padhamu soki,Megha sandhesam 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Cm,,Preyma koosamai valaloo padene,Pathala bhairavi 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,"6, 3",Priyathama na hrudayama,Prema
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Fm,,Prema entha madhuram priyuralu antha,Abhinandhana 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,6,Simhachalamu maha punya ksethramu,Simhachala ksethra mahima 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Cm,,Tharaka mantramu korina dorikenu,Ramadasu keerthana 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Gm,,Thillana thillana,Muthu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Gm,6,Vaanochenantey varadosthadhi,Tagore 
s,,g2,m1,p,d1,n2,,Hanumatodi ,Divyamalati,C#m,,Marugelara o raghava,Saptha padhi 
s,r1,g2,m1,p,d1,n3,,Dhenuka ,,Gm,,Anando Brahma ,Shiva
s,r1,g3,m1,,d1,n2,,Vakulabharanam ,Vasantha bhairavi ,,,Nee daya radha,Pooja 
s,r1,g3,m1,p,d1,n3,,Mayamalavagowla ,,C#,,Chamaku chamaku cham,Kondaveeti donga 
s,r1,g3,m1,p,d1,n3,,Mayamalavagowla ,,,,Ey nimishaniki emi jaruguno,Lava kusa 
s,r1,g3,m1,p,d1,n3,,Mayamalavagowla ,,F,,Ey theeruga nanu daya chuchedavo,Sankarabharanam 
s,r1,g3,m1,p,d1,n3,,Mayamalavagowla ,,D,4,Nandhi konda vaagullona,Geethanjali 
s,r1,g3,m1,p,d1,n3,,Mayamalavagowla ,,D,,Paavuraniki panjaraniki,Chanti 
s,r1,g3,m1,p,d1,n3,,Mayamalavagowla ,,,,Yamahoni yama yama andham,Jagadeka veerudu athiloka sundari 
s,r1,g3,m1,,d1,n3,,Mayamalavagowla ,Lalitha ,,,Lalitha priya kamalam virisinadhi,Rudra veena 
s,r1,g3,,p,d1,,,Mayamalavagowla ,Revagupti,C,5,Kalaganti kalaganti ippuditu kalaganti,Annamayya 
s,r1,g3,m1,p,d2,n2,,Chakravakam ,,,,Pibare raamarasam,Padamati sandhyaragam 
s,r1,g3,m1,p,d2,n2,,Chakravakam ,,A#,,Pibare raamarasam,Raagam
s,r1,g3,,p,d2,n2,,Chakravakam ,Malayamarutam ,,,Abhinava tharavo,Siva ranjani 
s,r1,g3,,p,d2,n2,,Chakravakam ,Malayamarutam ,,,Inni raasula yuniki,Sruthilayalu 
s,,g3,,p,d2,n2,,Chakravakam ,Valaji ,,,Siva poojaku chivurinchina,Swarna kamalam 
s,r2,g2,m1,p,d1,n2,d2,Natabhairavi ,,Gm,,Aananda maananda maye M,Subhakankshalu
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Gm,,Adigaa adigaa,Ninnu kori
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,,Aha emi ruchi anara maimarachi vankaya,Egire pavurama 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,,Alupannadhi undha,Gaayam
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,A#m,6,Annula minnala ammadi kannulu,Chanti 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Am,,Bandi bandi railu bandi,Jayam 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Bm,,Cheliya cheliya,Gharshana 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,,Chandrullo unde kundhelu,Nuvvostanante Nennodantana
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Am,4,Chilakamma chitikeyanga,Dalapathi 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Columbus columbus,Jeans 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,F#m,,Dhevulle mechindhi,Sri Rama Rajyam
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Gm,,Edho oka raagam,Raja 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Gm,,Ee reyi theeyanidhi,Johnny 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Cm,,Ela ela naalo kala,Panjaa
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Gm,4,Etoo vellipooyindhi manasu,Ninne pelladatha
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Am,,Gala Gala paaruthunna,Pokiri
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,D#m,,Gaaley naa vaakitikochchey,Rhythm 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Govinda govinda,Khadgam
s,r2,g2,m1,p,d1,n2,g3,Natabhairavi ,,,,Haira haira hairabba,Jeans 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Hello doctor,Prema desam 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Am,"6, 4",Innallaku gurthochana vaana,Varsham
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,,Inthandanga unnave,Don 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,6,Jaamu rathiri jabilamma,Kshana Kshanam
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Cm,,Jalakalaatalalo kala kala patalalo,Jagadeka veeruni katha 
s,r2,g2,m1,p,d1,n2,g3 d2,Natabhairavi ,,Em,,Innallila ledhule,Prematho 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Koncham neeru,Donga donga 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Cm,4,Maataraani mounam idhi,Maharshi
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,F#m,4,Maatey manthramu,Seethakoka chiluka 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Magadheera dheera,Oke okkadu 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Bm,,Manohara,Cheli 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Fm,4,Musi musi navuulalona,Brahma
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Am,,Mustafa mustafa,Prema desam 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,,Naalo unna prema,Premante idhera
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Nakoka girlfriend kaavali,Boys 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Bm,,Ney tholisariga kalagannadhi,Santosham 
s,r2,g2,m1,p,d1,n2,d2,Natabhairavi ,,Em,4,Nidharey kala ayinadhi,Surya s/o krishnan
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,4,Niluvaddhamu ninu epudaina,Nuvvostanante Nennodantana
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Am,4,Nuvvantey naakishtamani,Santosham 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Oh lalalla machilipatnam,Merupu kalalu 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Oh mariya oh mariya,Premikula roju 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,F#m,,Oho basti dorasani,Abhimanam 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Paadalenu pallavaina,Sindhu bhairavi 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Gm,,Pachani chilakalu,Bharatheeyudu 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,,Palukey bangaaramaayena,Sri Ramadasu
s,r2,g2,m1,p,d1,n2,d2,Natabhairavi ,,Em,,Paparayudu,Panjaa
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,D#m,4,Prema ane pariksha,Premikula roju 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Prema nanu nene marachina,Prema desam 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,A#m,4,Preminchey preymavaa,Nuvvu nenu prema
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,A#m,6,Priyathamaa nanu palakarinchu,Jagadeka veerudu athiloka sundhari 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Fm,4,Priyathamaa thelusunaaa,Jayam 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Am,,Santosham sagam balam,Chirunavvutho
s,r2,g2,m1,p,d1,n2,g3,Natabhairavi ,,Am,4,Singaaraala pairullona,Dalapathi 
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,,,Swapna veynuveydhoo sangiitham,Ravoyi chandamama
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Dm,,Thilothama priya vayyarama,Master
s,r2,g2,m1,p,d1,n2,,Natabhairavi ,,Cm,,Thandrimatanu nilupaga,Sri Ramadasu 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Dm,,Balamurali krishna naku balya mitrudey,Bombai priyudu 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Dm,,Bhalapam patti bhama vollo,Bobbili raja 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,,,Bhrahma okkade parabhrahma,Brahma 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Em,,Chamma chakka,Pelli sandhadi 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Dm,,Dhaivam manava roopamlo,Sri shiridi sai mahatyam 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Gunna mamidi komma meedha,Balamitrula katha 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Kondalalo nela konna koneti,Alludugaru 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Kondalalo nela konna koneti,Annamayya Githamalika
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Kotha kothaga unnadhi,Kooli no. 1 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Moosina muthyalakele,Annamayya 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Nammaku nammaku ee reyini,Rudraveena 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,,,Nannu vadhali neevu polevuley,Manchi manasulu 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,C#m,,Om namashivaya,Saagara sangamam 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,C#m,,Pagaley vennela jagamey ooyala,Pooja phalam 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Piluvakura alugakura,Suvarna Sundari 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,,,Rama kathanu vinarayya,Lava kusa 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Rangulalo kalavo yedha pongulalo,Abhinandana 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,,,Saagara sangamame,Seethakoka chiluka 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Samajavaragamana,Sankarabharanam 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Em,,Soundarya lahari,Pelli sandhadi 
s,,g2,m1,,d1,n2,,Natabhairavi ,Hindolam ,Cm,,Uttarala urvasi prema lekha preyasi,Allari Priyudu 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,C#m,,Arey emaindhi oka manasuku,Aaradhana 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,C#m,,Eduta neevey yedhalona neevey,Abhinandana
s,r2,g2,m1,p,d1,n3,"m2, d2, n2",Keeravani ,,Dm,4,Dheyvudu karunisthaadani,Prema kadha
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Em,,Gaali ningi neeru,Sri Rama Rajyam
s,r2,g2,m1,p,d1,n3,,Keeravani ,,,,Gandhapu galini,Priyuralu pilichindhi 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Em,,Ghallu ghallu mani siri muvvalle,Indra 
s,r2,g2,m1,p,d1,n3,"d2, n2",Keeravani ,,Em,,Jilibili palukula chilipiga palikina,Sithaara 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Bm,,Kallaloki kallu petti,Nuvve kavali 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Cm,4,Karigey looga ii kshanam,Aarya 2
s,r2,g2,m1,p,d1,n3,,Keeravani ,,,,Keeravani chilakala kolikiro,Anveshana 
s,r2,g2,m1,p,d1,n3,g3,Keeravani ,,Am,,Koncham konchem chupisthunte,Munna
s,r2,g2,m1,p,d1,n3,"d2, n2",Keeravani ,,Bm,,Maatey rani chinnadani,O papa lali 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Em,,Niiku neynu naaku nuvvu,Nuvvuu neynu
s,r2,g2,m1,p,d1,n3,,Keeravani ,,,,Oh oh ho pavurama,Swarga seema 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Bm,,Oh papa lali,Geethanjali 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Cm,,Oh prema na prema,Chanti 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Cm,4,Paatala pallikipai ooregey,Nuvvu vasthavani 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,,,Randi randi randi dayacheyandi,Rudraveena 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Em,,Unna mata cheppaneevu,Nuvvu naku nachav
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Dm,,Vatapathra sayiki varahala lali,Swaathi muthyam 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,,,Vennelave vennelave,Merupu kalalu 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,,,Vinudu vinudu ramayana gadha,Lava kusa 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,,,Yedhalo laya,Anveshana 
s,r2,g2,m1,p,d1,n3,,Keeravani ,,Cm,,Yennenno andaalu yevavo,Chanti 
s,,g2,m1,,d1,n3,,Keeravani ,Kadaram / Chandra / Chandrakauns ,,,Chandamama raavey,Siri vennela 
s,,g2,m1,,d1,n3,,Keeravani ,Kadaram / Chandra / Chandrakauns ,,,Aakasana suryudundadu ,Sundara kaanda 
s,,g2,m1,p,,n3,,Keeravani ,Srothaswini,Em,,Jai chiranjeeva,Jagadeka veeru athiloka sundhari 
s,,g2,m1,p,,n3,,Keeravani ,Srothaswini,Gm,,Sumam prathi sumam sumam,Maharshi 
s,,g2,m1,p,,n3,,Keeravani ,Srothaswini,Gm,,Inka inka,Sundara kaanda 
s,r2,g2,m1,p,d2,n2,"g3, d1, n3",Kharaharapriya ,,C#m,,Aakaasam enatido ,Nireekshana
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Aakulo aakunai,Meghasandesam 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Aaskasa veedhilo hayiga egirevu,Malliswari 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Gm,,Adireti dressu meeresthe,Bharatheeyudu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Aho oka mansuku nede,Allari Priyudu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Andame anandam,Bratuku Theruvu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,C#m,,Aparanji madanude,Merupu kalalu 
s,r2,g2,m1,p,d2,n2,d1,Kharaharapriya ,,Cm,,Brahma kadigina paadhamu,Annamayya Githamalika
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,6,Cheppakaney cheputhunnavi,Allari Priyudu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Em,,Cheppavey chirugaali,Okkadu
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Chirugali veechene,Siva putrudu
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Chigurakulalo chilakamma,Donga Ramudu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,F#m,,Chiluka kshemama,Rowdy Alludu
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Am,4,Chinuku chinuku andhelatho,Maayaloodu
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Gm,6,Chuusi chuudangaaney,Chalo
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Ele ele maradala,Annamayya 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Ey dhivilo virisina paarijaathamo,Kanne manasu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Gali chirugaali,Vasantam 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Hailo hailessa hamsa kadha na padava,Bheeshma 
s,r2,g2,m1,p,d2,n2,g3,Kharaharapriya ,,Em,,Himagiri sogasulu,Paandava vanavasam 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Em,4,Himasiimallo hallo,Annayya
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Hrudhayam ekkadunnadhi,Ghajini 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Bm,,Idhele tharatharala charitham,Peddharikam
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Em,6,Jaabiliki vennalaki puttina,Chanti 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Fm,3,Jaabilli koosam,Manchi manasulu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Jeevamu neevey kadha,Bhaktha prahladha 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,,,Kalavaramaye madhilo na madhilo,Pathala Bhairavi 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Cm,,Kalaya nijama tholi reyi,Kooli No 1 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Cm,,Kannulatho choosevi,Jeans 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Kanulu therachina kanulu moosina,Anandam 
s,r2,g2,m1,p,d2,n2,g3,Kharaharapriya ,,D#m,,Kasthuri ranga ranga,Zamindaru 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Cm,,Kontey chuputho,Ananthapuram 1980 
s,r2,g2,m1,p,d2,n2,n3,Kharaharapriya ,,Bm,,Kothi bavaku pellantaa kovela thotey,Malliswari 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Em,,Krishnam kalaya sakhi sundaram,Pelli pustakam 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Cm,,Madhuram madhuram ee samayam,Bharya Bharthalu 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Madhuramey madhuramey,Sathyam
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Dm,,Manchu kurise velalo,Abhinandhana 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Am,,Merisindhi megham megham,Guru 
s,r2,g2,m1,p,d2,n2,,Kharaharapriya ,,Cm,,Muddabanthi navvulo moogabasalu,Alludugaru 
