s,r,g,m,p,d,n,Other,Melakarta,Janya,Key,TS,Song,Album
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C#,,Aadhi bhikshuvu vadini edhi koredhi,Siri vennela 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,A,,Aamani ruthuvu vachinadhi,Jodha akbar
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,G#,,Andhaalaloo ahoo mahoodhayam,Jagadheyka viirudu athilooka sundhari
s,r2,g3,,p,d2,,n3?,Harikambhoji ,Mohanam ,D#,,Arey rey manase maarey,Happy days 
s,r2,g3,,p,d2,,g2 m1,Harikambhoji ,Mohanam ,E,,Bhaley chansuley lucky chansuley,Illarikam 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C,,Chandana charchita,Tenali ramakrishna 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C#,,Cheri yasodhaku sisuvithadu,Swarna kamalam 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C#,,Chinnadana osi chinnadana,Prema lekha 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C#,,Echati nundi veecheno,Appu chesi pappu koodu 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,D#,,Ghana ghana sundara,Bhaktha thukaram 
s,r2,g3,,p,d2,,g2,Harikambhoji ,Mohanam ,A,,Guvva gorinkatho,Khaidi No 786
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,F,,Ippatikippudu reppallo,Premaku velayera 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,D,,Kadhiley kaalama kasepu aagavamma,Pedharayudu 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C#,,Lahiri lahiri lahirilo,Maya bazar 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,D,,Madhilo veenalu mrogey,Aatmeeyulu 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,B,,Manasu parimalinchaney,Sri Krishna arjuna yuddham 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,G#,,Nee jatha leka picchidi kadha mansanta,Prema pavuralu
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,F,,Ney padithey lokamey padadha,Missamma 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,D,,Ninnu kori varnam,Gharshana 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,A,,Oh my friend,Happy days 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,F,,Oka brundhavanam,Gharshana
s,r2,g3,,p,d2,,m1 n2,Harikambhoji ,Mohanam ,A,,Paara hushaar,Swayam krushi 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C,,Podagantimayya mimmu,Annamayya 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,E,,Poriginti mangala gowri,Subhalagnam
s,r2,g3,,p,d2,,g2 m1 n3,Harikambhoji ,Mohanam ,C,,Shivani bhavani sarvani,Swathi kiranam 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C,,Sri ranga ranga (pallavi),Mahanadhi 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,A,,Thanemandho andho ledho,Ganesh
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,D,,Thelisi thelisi valalo padeney vayasu,Aanandh
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,E,4,Thelusaa thelusaa preyminchaanani,Sarrainodu
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,G,,Thuunega thuunegaa,Manasantha nuvve 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,C#,,Vagalaranivi neeve,Bandipotu 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,E,3,Ve vela gopemmala muddu gopalude,Saagara sangamam 
s,r2,g3,,p,d2,,,Harikambhoji ,Mohanam ,D,,Ye swaasalo cherithey,Nenunnanu 
s,r2,g3,m1,p,,n2,,Harikambhoji ,Parameswarapriya,A,,Bhadrachalam konda,Gang leader
s,r2,g3,m1,p,,n2,,Harikambhoji ,Parameswarapriya,G,,Erra kaluva puvva,Yamaleela
s,r2,g3,m1,p,,n2,,Harikambhoji ,Parameswarapriya,B,,Nuvvu whistlesthey andhra soda buddi,Simhadri
s,,g3,m1,p,,n2,,Harikambhoji ,Savithri,G,,Dhin dhinaktari nakthi thom,Santosham 
s,,g3,m1,p,,n2,,Harikambhoji ,Savithri,E,,Maayera mayera,Sainikudu
s,,g3,m1,p,,n2,,Harikambhoji ,Savithri,D,,Thiru thiru gana naadha,100% love
s,r2,g3,m1,p,d2,,,Harikambhoji ,Vaishnavi,C,,Kumari,Aparichitudu 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,G,,Adigaa andhaala chinni,Hi Nanna
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C#,,Aligina veylaney chuudaali,Gundamma katha 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,E,,Ammai kitiki pakkana koorchundhi,Maryada Ramanna
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,F#,,Andhala o chiluka,Letha manasulu 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Anjali anjali anjali,Anjali 
s,r2,g3,m1,p,d2,n3,"d1 ,n2 ",Sankarabharanam ,,D,,Anjali anjali pushpanjali,Duet 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C#,,Ay pilla paruguna podama,Love Story
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,G,,Ayyayo chetilo dabbulu poyene,Kula gotralu
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,G,,Bham bham bhole,Indra 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Bommani geesthey neela vundhi,Bommarillu
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,F#,,Bulli pitta bujji pitta,China Raayudu
s,r2,g3,m1,p,d2,n3,n2,Sankarabharanam ,,E,,Chandurini thakinadhi,Rakshakudu
s,r2,g3,m1,p,d2,n3,n2,Sankarabharanam ,,C,,Chilipiga chuusthaavalaa,Orange
s,r2,g3,m1,p,d2,n3,n2,Sankarabharanam ,,D,,Chinni chinni aasa,Roja 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,F,,Chinni chirunavvu thoti,Sreeram
s,r2,g3,m1,p,d2,n3,"g2, n2",Sankarabharanam ,,D,,Dhimtanana dhimtanana,Rhythm 
s,r2,g3,m1,p,d2,n3,m2,Sankarabharanam ,,D,,Edho theliyani bandhamidhi,Naayakudu 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Em sandeham ledhu,Uhalu gusagusalade
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C#,,Endhukey neekintha thondara,Malliswari 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,B,6,Evare premanu mayandhi,Premam
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,F#,,Ey janma bandhamo,Mr Nokia
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,A,,Ey naadaina anukunnana kalalo naina,Edhuru leni manishi 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,3,Gijigaadu thana guudu,Raajanna
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,G,,Goranka gutike cheravu chilaka,Dagudu moothalu
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Gummadi gummadi aadindhantey,Daddy 
s,r2,g3,m1,p,d2,n3,"m2, n2",Sankarabharanam ,,F,7,I am in love,Satyam
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C,,Idhi adhi nemo,Golkunda High School
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,E,,Jalajalamani pongi poralu megham,Rhythm 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,E,,Jaya jaya priya bharatha janayitri,Rakshasudu 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Jo achuthananda jojo mukundha,Annamayya githamalika
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,G,,Kadalalle veche kanule,Dear Comrade
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C,4,Kala kalalu kila kilalu,Thammudu
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C,,Kalalonaina kala ganaledhey,Nuvvu vasthavani 
s,r2,g3,m1,p,d2,n3,"m2, d1",Sankarabharanam ,,C#,,Kammani ee prema lekhaney,Guna
s,r2,g3,m1,p,d2,n3,n2,Sankarabharanam ,,E,6?,Kanne pillavani kannulunnavani,Aakali rajyam 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,A#,,Kannulu niivii Reppalu niivii,Cheli
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Kotha bangaru lokam,Donga donga 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,"Lali lali anu ragam (M-D, F-C#)",Indira 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C#,,Maavele maavele,Gentleman 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C#,,Madhuramey sudha gaanam,Brundavanam 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Manasuna manasai,Dr chakravarthy 
s,r2,g3,m1,p,d2,n3,m2,Sankarabharanam ,,E,6,Marala thelupana,Swayamvaram 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Mellaga mellaga thatti,Aasa aasa aasa
s,r2,g3,m1,p,d2,n3,"g2, m2",Sankarabharanam ,,G,6,Mounameylanooyi ii marapu,Saagara sangamam 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,F,,Muddugare yashoda M,Village lo vinayakudu
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C,,Mudinepalli madichelo,Gentleman 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D#,,Na inti mundunna,Gentleman 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Naa hrudayamlo nidhurinche cheli,Aaradhana 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Naaloo neyneynaa,Baanam
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,A,,Naalone pongenu narmada,Surya S/o Krishnan
s,r2,g3,m1,p,d2,n3,n2,Sankarabharanam ,,D,,Nallani vanni neellani,Chatrapathi
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C,,Nanne Nanne choosthu,Gharshana 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,F,,Nee kannu neeli samudram,Uppena
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C,,Nee neeli kannulona,Dear Comrade
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,A#,,Nemaliki nerpina nadakalivey,Sapthapadhi 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,A#,,Neyney naani ney,Eega
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D#,,Ninna ee kalavarintha,Padmavyuham 
s,r2,g3,m1,p,d2,n3,n2,Sankarabharanam ,,C,,Ninnilane choostu vunna ... Arere,Jabardasth
s,r2,g3,m1,p,d2,n3,m2,Sankarabharanam ,,B,,Nuvveynaa naa nuvveynaa,Aanandh
s,r2,g3,m1,p,d2,n3,g2,Sankarabharanam ,,D#,,O cheliya na priya sakhiya,Premikudu 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,A#,,O manasa thondara padakey,Oka chinna maata
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Oh vennela kallu kallu,Prema desam 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C#,,Omkara nadhanu sandhanamou,Sankarabharanam 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,E,,Orey Anjaneylu ,Amrutham
s,r2,g3,m1,p,d2,n3,n2,Sankarabharanam ,,E,,Poojalu cheya poolu thechanu,Pooja 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,G,,Poovullo dagunna kallentho,Jeans 
s,r2,g3,m1,p,d2,n3,"m2, g2, n2",Sankarabharanam ,,G,6,Priyathama priyathama tharagani,Peddharikam
s,r2,g3,m1,p,d2,n3,"m2, n2",Sankarabharanam ,,D,7,Raama chakkani siithaki,Godhaavari
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,A#,,Rave na cheliya,Jeans 
s,r2,g3,m1,p,d2,n3,"g2, n2",Sankarabharanam ,,A#,,Ringa ringa ringa ringa,Arya 2
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,G,,Simbale simbale ambaraalu,Choodalani vundhi 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,F,,Sreelu pongina jeeva gaddai,Leader
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Sye andre naanu,Krishnam vande jagadgurum
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Thellavare vela ningi rangullo,Padutha Theeyaga
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,C#,,Thongichoose thongichoose,Priyuralu pilichindhi 
s,r2,g3,m1,p,d2,n3,"g2, d1",Sankarabharanam ,,E,7,Uusuladey oka jaabilata,Hrudhayam 
s,r2,g3,m1,p,d2,n3,d1,Sankarabharanam ,,D,,Vennela vennela mellaga,Prema desam 
s,r2,g3,m1,p,d2,n3,d1,Sankarabharanam ,,C,,Vinara vinara,Roja 
s,r2,g3,m1,p,d2,n3,,Sankarabharanam ,,D,,Yamaha nagari calcutta puri,Choodalani vundhi 
s,r2,g3,,p,d2,n3,,Sankarabharanam ,Anandharoopa / Suranandhini,D,,Joruga husharuga shikaru podhama,Bharya bharthalu 
s,r2,g3,,p,d2,n3,,Sankarabharanam ,Anandharoopa / Suranandhini,D#,,Kothaga rekkalochena,Swarna kamalam 
s,r2,g3,,p,d2,n3,,Sankarabharanam ,Anandharoopa / Suranandhini,F,,Paadana theeyaga kammani,Vaasu
s,r2,g3,,p,d2,n3,,Sankarabharanam ,Anandharoopa / Suranandhini,G,,Nelluri nerajana,Oke okkadu 
s,r2,g3,,p,,n3,,Sankarabharanam ,Hamsadhwani ,E,,Marumallello ee jagamantha viriyaga,Amrutha 
s,r2,g3,,p,,n3,,Sankarabharanam ,Hamsadhwani ,C,,O sari nee cheyye thaki,Ee abbayi chala manchodu 
s,r2,g3,,p,,n3,d2,Sankarabharanam ,Hamsadhwani ,C,,Sri ranga ranga (charanam),Mahanadhi 
s,r2,g3,,p,,n3,,Sankarabharanam ,Hamsadhwani ,C,6,Taraliradha thaney vasantham,Rudraveena 
s,r2,g3,,p,,n3,,Sankarabharanam ,Hamsadhwani ,C#,,Vatapi ganapathimbhaje,Vinayaka Chavithi 
s,r2,,m1,p,d2,n3,,Sankarabharanam ,Nagabhooshani,F,,Ganga nee urukule ragamga,Gangotri 
s,r2,,m1,p,d2,,g3,Sankarabharanam ,Shuddha Saveri ,Dsus,,Aavakaya mana andaridi,Midhunam
s,r2,,m1,p,d2,,,Sankarabharanam ,Shuddha Saveri ,Dsus,,Abbabba iddhu adhirela o muddhu,Choodalani vundhi 
s,r2,,m1,p,d2,,g3,Sankarabharanam ,Shuddha Saveri ,C#sus,,Brundavanamadhi andharidhi,Missamma 
s,r2,,m1,p,d2,,,Sankarabharanam ,Shuddha Saveri ,Esus,,Eeroje thelisindhi,Idiot
s,r2,,m1,p,d2,,,Sankarabharanam ,Shuddha Saveri ,Fsus,,Gudi gantalu mrogina vela,Ninne premistha
s,r2,,m1,p,d2,,,Sankarabharanam ,Shuddha Saveri ,Csus,,Samayaniki thagu,Seetharamayyagari Manavaralu 
s,r2,,m1,p,d2,,,Sankarabharanam ,Shuddha Saveri ,D#sus,,Vaasantha sameeram la,Ruthuragalu
s,r2,g3,m1,p,,n3,,Sankarabharanam ,Vilasini,A,,Priya ninu choodaleka,Prema lekha 
s,r3,g3,m1,p,d2,n2,,Vagadheeswari ,,D,,Vache vache vana,Kathanayakudu 
s,r3,g3,m1,p,d2,n3,,Shulini ,,D,,Sasivadane sasivadane,Iddaru 
s,r3,g3,m1,p,d3,n3,,Chalanata ,,C,,Chennai chendrama,Amma nanna o tamil ammayi 
s,r3,g3,m1,p,d3,n3,,Chalanata ,,F#,,Maha ganapathim manasa smarami,Raagam
s,r3,g3,m1,p,d3,n3,,Chalanata ,,C,,Pranathi pranathi pranava nadha,Swathi kiranam 
s,r1,g2,m2,p,d1,n3,,Shubhapantuvarali ,,C,,Venuvai vachanu bhuvananiki,Matrudevobhava 
s,r1,g2,m2,p,d1,n3,,Shubhapantuvarali ,,F,,Maha prana deepam sivam sivam,Sri manjunada 
s,,g2,m2,p,,n3,,Shubhapantuvarali ,Parpathi,Cm,,Oohalu gusa gusalade,Bandipotu 
s,r1,g3,m2,p,d1,n3,,Kamavardani ,,B,,Dhinakara subhakara deva,Vinayaka chavithi 
s,r1,g3,m2,p,d1,n3,,Kamavardani ,,G,,Nenu saitham prapamchagniki,Tagore 
s,r1,g3,m2,p,d1,n3,,Kamavardani ,,F,,Om jeevana vahini sanani,Gangotri 
s,r1,g3,m2,,d2,n3,,Gamanashrama ,Hamsanandhi,C,,Dai dai dakshayini,Raja simham
s,r1,g3,m2,,d2,n3,,Gamanashrama ,Hamsanandhi,B,,Haayi haayiga aamani paadey,Suvarna sundhari 
s,r1,g3,m2,,d2,n3,,Gamanashrama ,Hamsanandhi,C,,Kila kila kila kila kila paduchuko kila,Pelli sandhadi 
s,r1,g3,m2,,d2,n3,,Gamanashrama ,Hamsanandhi,G,,Muddha banthi poochenule,Dalapathi 
s,r1,g3,m2,,d2,n3,,Gamanashrama ,Hamsanandhi,D,,Telugu padhaniki janmadhinam,Annamayya 
s,r1,g3,m2,,d2,n3,,Gamanashrama ,Hamsanandhi,D,,Vedam anuvanuvuna nadham,Sagara sangamam 
s,r2,g2,m2,p,d1,n2,,Shanmukhapriya ,,E,,Thakita thadhimi,Sagara sangamam 
s,r2,g2,m2,p,d2,n2,,Hemavati ,,Em,,Jallantha thullintha,Geethanjali 
s,r2,g2,m2,p,d2,n3,,Dharmavati ,,D#m,,Andela ravamidhi,Swarna kamalam 
s,r2,g2,m2,p,d2,n3,,Dharmavati ,,Dm,,Kontegadni kattuko,Gentleman 
s,r2,,m2,p,,n3,"d1, d2",Latangi ,Skandamanorama,D#sus,7,Om namaha,Geethanjali 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,F,,Dorakuna ituvanti seva,Sankarabharanam 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,E,,Eenade edho ayyindhi,Prema
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,D#,,Jaanavule nera jaanavule,Aditya 369
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,C,,Kudi yedamaithey,Devadasu 
s,r2,g3,m2,p,d2,n3,m1,Mechakalyani ,,D,,Manasuna manasuga nilichina,Love birds
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,D,,Muddhula jaanaki pelliki mabbula,Peddharikam 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,E,,Nadir dhina nachina dhani kosame,Okariki okaru 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,F,,Nammina na madhi mantralayamena,Raghavendra 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,D,,Nanu brovamani cheppavey,Bhadrachala Ramadasu Keerthanalu
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,D,7,Oka laalanaa oka dheevenaa (Male),Jyo Achyuthaanandha
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,D,,Oka manasutho oka manasuki,Ee abbayi chala manchodu 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,G,,Om namo nama,Surya IPS 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,C,,Paluka radhatey chiluka,Shavukaru 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,C,,Salalitha raga sudharasa,Nartanasala 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,G,,Saranga Dariya,Love story
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,F,,Sruthi neevu gathi neevu,Swathi Kiranam 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,C#,,Sundhari nene nuvvanta,Dhalapathi 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,D#,,Uppongi poyindhi godhaavari,Godhaavari
s,r2,g3,m2,p,d2,n3,"m1, n2",Mechakalyani ,,G,,Utti meedha koodu,Oke okkadu 
s,r2,g3,m2,p,d2,n3,,Mechakalyani ,,E,,Yamuna thatilo,Dalapathi 
s,r2,,m2,p,d2,n3,,Mechakalyani ,Saranga tharangini,C,,Yamuna theeram,Aanandh
s,,g3,m2,p,,n3,,Chitrambari ,Amruthavarshini,B,,Aanathineeyara haraa,Swathi Kiranam 
s,,g3,m2,p,,n3,,Chitrambari ,Amruthavarshini,C,,Hrudhayama kalusuko,Oka manasu
s,,g3,m2,p,,n3,,Chitrambari ,Amruthavarshini,B,4,Kuriseynu virijalluley,Gharshana 